SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_2,0.009,6771.00,1.0000,7.6731,7.8249e+02,0.0000e+00,0.00,0
SolarSail_2,0.179,6770.62,1.0000,7.8138,7.8257e+02,0.0000e+00,0.00,0
SolarSail_2,0.202,6648.83,1.0000,7.8151,8.1151e+02,0.0000e+00,0.00,0
SolarSail_2,0.211,6647.78,1.0000,7.8149,8.1176e+02,0.0000e+00,0.00,0
SolarSail_2,0.220,6647.97,1.0000,7.8146,8.1172e+02,0.0000e+00,0.00,0
SolarSail_2,0.228,6648.16,1.0000,7.8144,8.1167e+02,0.0000e+00,0.00,0
SolarSail_2,0.236,6648.38,1.0000,7.8141,8.1162e+02,0.0000e+00,0.00,0
SolarSail_2,0.245,6648.60,1.0000,7.8139,8.1156e+02,0.0000e+00,0.00,0
SolarSail_2,0.254,6648.83,1.0000,7.8136,8.1151e+02,0.0000e+00,0.00,0
SolarSail_2,0.263,6649.08,1.0000,7.8133,8.1145e+02,0.0000e+00,0.00,0
SolarSail_2,0.272,6649.34,1.0000,7.8130,8.1138e+02,0.0000e+00,0.00,0
SolarSail_2,0.280,6649.61,1.0000,7.8127,8.1132e+02,0.0000e+00,0.00,0
SolarSail_2,0.289,6649.89,1.0000,7.8124,8.1125e+02,0.0000e+00,0.00,0
SolarSail_2,0.298,6650.19,1.0000,7.8120,8.1117e+02,0.0000e+00,0.00,0
SolarSail_2,0.306,6650.50,1.0000,7.8116,8.1110e+02,0.0000e+00,0.00,0
SolarSail_2,0.315,6650.82,1.0000,7.8113,8.1102e+02,0.0000e+00,0.00,0
SolarSail_2,0.324,6651.15,1.0000,7.8109,8.1094e+02,0.0000e+00,0.00,0
SolarSail_2,0.332,6651.50,1.0000,7.8105,8.1086e+02,0.0000e+00,0.00,0
SolarSail_2,0.341,6651.86,1.0000,7.8100,8.1077e+02,0.0000e+00,0.00,0
SolarSail_2,0.350,6652.23,1.0000,7.8096,8.1068e+02,0.0000e+00,0.00,0
