SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_5,0.008,42157.00,0.9997,0.0000,0.0000e+00,0.0000e+00,90.00,0
SolarSail_5,0.166,42157.00,0.9997,0.0000,0.0000e+00,0.0000e+00,90.00,0
SolarSail_5,0.198,42157.00,0.9997,0.0000,0.0000e+00,0.0000e+00,90.00,0
SolarSail_5,0.223,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.248,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.272,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.297,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.321,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.347,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.370,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.394,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.402,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.411,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.419,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.427,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.436,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.444,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.453,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.462,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.471,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.479,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.487,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.496,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.504,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.512,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.521,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.530,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.538,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.546,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.555,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.563,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.571,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.580,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.588,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.596,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.606,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.614,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.624,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.633,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
SolarSail_5,0.641,42157.00,0.9997,0.0000,0.0000e+00,4.5429e-06,90.00,100
