SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_2,0.008,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.132,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.142,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.151,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.159,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.167,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.176,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.185,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.193,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,0
SolarSail_2,0.203,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.212,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.221,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.230,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.238,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.247,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.258,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.269,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.279,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.307,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.316,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.325,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.335,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.343,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.352,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.361,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.369,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.378,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.387,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.395,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.405,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.415,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.423,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.432,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.443,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.454,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.463,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.473,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.483,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.493,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.502,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.511,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.519,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.528,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.536,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.544,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.553,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.561,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.569,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.578,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.588,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.597,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.606,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.614,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.635,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.645,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.653,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.662,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.670,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.678,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.687,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.695,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.704,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.714,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.728,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.737,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.745,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.754,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.762,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.771,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.781,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.790,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.800,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.811,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.820,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.829,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.838,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.847,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.855,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.866,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.874,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.883,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.892,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.901,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.909,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.917,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.926,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.934,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.942,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.951,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
SolarSail_2,0.960,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,0.00,100
