SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_5,0.008,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.132,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.142,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.151,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.159,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.167,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.176,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.185,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.193,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,0
SolarSail_5,0.203,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.212,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.221,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.230,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.238,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.247,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.258,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.269,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.279,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.307,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.316,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.325,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.335,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.343,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.352,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.361,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.369,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.378,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.387,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.395,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.405,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.415,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.423,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.432,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.443,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.454,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.463,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.473,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.483,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.493,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.502,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.511,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.519,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.528,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.536,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.544,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.553,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.561,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.569,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.578,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.588,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.597,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.606,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.614,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.635,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.645,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.653,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.662,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.670,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.678,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.687,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.695,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.704,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.714,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.728,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.737,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.745,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.754,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.762,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.771,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.781,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.790,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.800,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.811,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.820,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.829,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.838,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.847,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.855,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.866,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.874,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.883,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.892,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.901,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.909,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.917,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.926,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.934,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.942,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.951,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.960,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.970,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.978,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.987,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,0.997,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.006,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.018,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.027,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.035,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.044,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.053,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.062,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.070,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.078,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.087,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.096,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.105,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.113,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.123,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.132,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.141,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.149,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.158,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.168,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.177,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.186,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.195,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.204,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.212,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.220,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.229,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.238,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.247,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.256,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.267,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.276,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.286,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.295,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.305,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.314,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.323,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.332,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.341,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.350,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.359,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.369,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.377,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.386,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.394,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.403,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.411,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
SolarSail_5,1.420,42156.12,1.0000,3.0750,1.1215e+00,0.0000e+00,0.00,93
