SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_1,0.747,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.756,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.764,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.772,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.781,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.789,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.797,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.806,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.814,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.822,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.831,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.839,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.847,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.856,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.864,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.872,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.881,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.889,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.897,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.906,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.914,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.922,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.931,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.939,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.947,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.956,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.964,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.972,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.981,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.989,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.997,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.006,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.014,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.024,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.032,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.040,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.049,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.057,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.065,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.074,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.082,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.090,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.099,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.107,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.115,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.124,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.132,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.140,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.149,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.157,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.165,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.174,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.182,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.190,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.199,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.207,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.215,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.224,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.232,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.240,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.249,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.257,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.265,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.274,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.282,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.290,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.299,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.307,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.315,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.324,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.332,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.340,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.349,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.357,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.365,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.374,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.382,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.390,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.399,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.407,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.415,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.424,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.432,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.440,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.449,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.457,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.465,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.474,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.482,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.490,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.499,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.507,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.515,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.524,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.532,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.540,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.549,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.557,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.565,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.574,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.582,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.590,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.599,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.607,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.615,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.624,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.632,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.640,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.649,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.657,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.665,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.674,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.682,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.690,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.699,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.707,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.715,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.724,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.732,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.740,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.749,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.757,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.765,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.774,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.782,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.790,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.799,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.807,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.815,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.824,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.832,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.840,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.849,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.857,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.865,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.874,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.882,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.890,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.899,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.907,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.915,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.924,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.932,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.940,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.949,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.957,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.965,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.974,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.982,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.990,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,1.999,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.007,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.015,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.024,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.032,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.040,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.049,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.057,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.065,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.074,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.082,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.090,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.099,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.107,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.115,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.124,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.132,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.140,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.149,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.157,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.165,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.179,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.188,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.196,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.204,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.213,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.221,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.229,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.238,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.246,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.254,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.263,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.271,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.279,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.288,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.296,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.304,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.313,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.321,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.329,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.338,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.346,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.354,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.363,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.371,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.379,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.388,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.396,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.408,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.416,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.424,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.433,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.441,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.449,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.458,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.466,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.474,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.483,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.491,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.499,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.508,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.516,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.524,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,2.533,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
